Site Number,Sample Number,Distinct Species Count,Total Individuals
1,1,20,104
1,2,9,53
1,3,12,44
1,4,21,105
1,5,24,93
1,6,26,266
1,7,23,385
1,8,21,206
1,9,19,204
1,1,14,27
1,2,16,35
1,3,15,38
1,4,11,16
1,1,5,11
1,2,5,15
1,3,8,52
1,4,7,20
1,5,6,41
1,6,5,12
1,7,6,17
1,8,3,5
1,9,6,15
1,10,6,14
1,11,4,5
1,12,5,16
1,13,6,8
1,14,7,100
1,15,4,11
1,1,5,11
1,2,5,15
1,3,8,52
1,4,7,20
1,5,6,41
1,6,5,12
1,7,6,17
1,8,3,5
1,9,6,15
1,10,6,14
1,11,4,5
1,12,5,16
1,13,6,8
1,14,7,100
1,15,4,11
1,1,11,24
1,2,17,31
1,3,10,15
1,4,9,37
1,5,9,12
1,6,5,18
1,7,13,28
1,8,14,24
1,1,20,104
1,2,9,53
1,3,12,44
1,4,21,105
1,5,24,93
1,6,26,266
1,7,23,385
1,8,21,206
1,9,19,204
2,1,16,36
2,2,11,19
2,1,19,225
2,2,9,10
2,3,8,11
3,1,14,91
3,2,13,73
3,3,17,130
3,4,14,53
3,5,16,42
3,6,11,27
3,7,12,32
3,8,13,27
3,9,5,6
3,10,4,4
3,11,8,35
3,12,13,55
3,13,11,41
3,14,7,9
3,15,4,4
3,1,14,91
3,2,13,73
3,3,17,130
3,4,14,53
3,5,16,42
3,6,11,27
3,7,12,32
3,8,13,27
3,9,5,6
3,10,4,4
3,11,8,35
3,12,13,55
3,13,11,41
3,14,7,9
3,15,4,4
4,1,6,8
4,2,12,20
4,3,22,56
4,4,19,85
4,5,6,8
4,6,6,6
4,7,11,27
4,8,8,12
4,9,7,10
4,10,9,10
4,11,6,10
4,12,7,10
4,13,9,18
4,14,14,32
4,15,8,16
4,16,15,23
4,17,12,30
4,18,10,37
4,19,14,37
16,1,12,50
16,2,8,46
16,3,9,59
27,1,21,276
27,2,15,61
27,3,24,98
27,4,16,52
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
