presence,area,dry,water,shade,bird ,fish ,other ponds ,land,macro,HSI
0,100,1,2,10,2,1,2,1,30,0.53
0,40,1,2,90,1,3,1,1,0,0.47
0,150,1,3,20,2,3,4,1,80,0.69
0,25,1,2,90,1,3,4,1,0,0.51
1,800,1,2,90,1,4,5,3,0,0.7
0,275,1,3,5,2,1,2,4,50,0.72
0,3935,1,3,5,1,1,5,4,5,0.75
0,200,2,2,0,1,3,4,4,0,0.71
0,125,3,2,95,1,4,0,4,5,0.58
1,18,3,3,15,1,3,1,3,60,0.68
0,36,2,2,100,1,3,3,4,0,0.59
0,100,2,2,70,1,4,3,4,60,0.79
0,575,1,3,10,2,2,0,4,40,0.74
0,180,1,2,80,1,3,1,4,5,0.66
0,150,1,2,75,1,3,1,4,5,0.66
0,240,2,2,85,1,4,1,1,10,0.61
0,120,3,2,60,2,4,1,1,50,0.59
0,60,2,2,25,1,3,1,1,35,0.62
0,200,1,2,15,2,1,5,4,20,0.66
0,80,1,2,5,1,1,5,4,30,0.68
0,100,1,3,0,1,3,5,4,20,0.77
1,70,1,3,0,1,3,3,3,30,0.74
1,50,1,2,50,1,3,3,3,0,0.63
0,177,1,3,95,1,3,6,4,5,0.7
0,80,2,3,80,2,4,6,4,5,0.73
1,112,1,3,80,1,3,6,4,5,0.72
0,200,1,2,90,1,3,4,1,0,0.54
0,110,1,3,20,1,3,3,1,30,0.67
0,2800,1,3,20,1,1,4,4,20,0.76
1,600,1,3,40,2,3,2,3,10,0.75
0,150,3,3,50,2,4,5,3,35,0.72
0,200,3,2,90,1,4,6,4,5,0.68
0,3,3,2,90,1,4,2,1,10,0.52
0,56,1,3,60,1,3,2,1,95,0.68
0,250,1,3,70,2,3,4,1,5,0.63
0,15,2,3,95,1,3,4,3,0,0.61
0,150,2,2,85,1,4,5,1,0,0.59
0,375,1,2,50,1,3,5,1,30,0.7
0,175,1,2,20,1,3,5,1,10,0.64
1,225,1,3,20,2,3,6,2,20,0.7
1,100,1,3,15,1,3,5,2,40,0.72
0,80,1,2,50,1,4,4,1,5,0.65
1,30,1,2,60,1,4,5,4,0,0.7
0,30,1,3,60,1,2,9,4,70,0.79
0,8,3,3,90,1,2,9,4,0,0.59
0,5000,1,3,5,2,1,6,4,5,0.72
0,10000,1,3,5,2,1,6,4,5,0.72
0,78,1,2,10,1,4,3,2,80,0.74
0,400,1,3,30,2,3,1,3,70,0.78
0,450,1,3,25,1,3,1,3,70,0.82
0,15,2,2,100,1,2,0,2,5,0.47
0,112,3,3,70,2,4,2,2,15,0.62
0,250,1,3,5,1,3,3,4,70,0.84
0,4,3,2,65,1,3,2,1,40,0.57
0,300,1,3,80,2,3,2,4,5,0.7
0,140,1,3,90,1,3,2,4,0,0.65
1,80,1,3,20,1,3,4,4,40,0.78
1,204,1,3,50,1,2,2,4,30,0.75
0,16,4,3,25,1,3,2,4,90,0.69
0,110,2,3,35,1,4,2,1,20,0.7
0,1350,1,3,5,1,2,4,4,85,0.85
