Species,ML1,ML2,MU1,MU2,PL2,PU2,SL1,SL2,SU1,SU2
Achillea millefolium,6,3,5,4,0,3.2,0,0,0,0
Aegopodium podagraris,0,0,0,0,0,0,0,1.6,0,0
Agrostis capillaris,0,8,8,5.6,8,0,5,2,3.2,0
Agrostis stolonifera,0,0,0,0,0,5,0,0.4,0,0
Anthriscus sylvestris,0,0,0,0,0,0,0,0,1.2,3
Arctium minus,0,0,0,0,0,0,0,0,0,0.4
Arrhenatherum elatius,0,0,0,0,4,0,0,4,9,9
Bidens cernua,0,0,0,0,3.2,0,0,0,0,0
Brachythecium rutabulum,0,0,0,0,9,0,4,0.2,4,0
Bromus hordeaceus,0,0,0,0,0,0,1.6,0,1.8,0
Calystegia sepium,0,0,0,0,0,0,0,0.4,0,0
Capsella bursa-pastoris,0,0,0,0,0.6,0.2,0,0,0,0
Cardamine pratensis,0,0,0,0,1.8,0,0,0,0,0
Centaurea nigra,4,4,3.2,9,0,0,0,0,0,0
Cerastium fontanum,0,0,2,0,0,4,0,0,0.6,0.2
Chamerion angustifolium,0,0,0,0,0,0,0,0,0.4,0
Chenopodium album,0,0,0,0,0,0,0,0,0.2,0
Cirsium arvense,5,0,5,4,1.2,5,7,2.4,5,3.2
Cirsium palustre,0,0,0,0,1.8,0,0,0,0,0
Crataegus monogyna (s),0,0,0,0,0,0,0,0,0.2,0
Cynosurus cristatus,5,0,0,8,0,0,0,0,0,0
Dactylis glomerata,0,0,0,0,0,0,0,0.8,2.4,3
Deschampsia flexuosa,6,0,9,0,0,0,0,0,0,0
Elytrigia repens,0,0,0,0,0,0,0,0.4,0,0
Epilobium hirsutum,0,0,0,0,0,0,0,5,0,2.4
Epilobium montanum,0,0,0,0,0.8,0,0,0,0,0.2
Fallopia convolvulus,0,0,0,0,0,0,0,0,2.4,0.2
Festuca rubra,2.8,0,10,0,0,0,0,0,0,0
Filipendula ulmaria,0,0,0,0,0,0,0,0.4,0,0
Fraxinus excelsior (s),0,0,0,0,0,0,0,0,0.2,0
Galium aparine,0,0,0,0,0,0,2.4,0.4,0.6,2
Galium verum,0,7,5,0,0,0,0,0,0,0
Geranium columbinum,0,0,0,0,0,0,0.2,0,0,0
Geranium molle,0,0,0,0,0,0,0.6,0,0,0
Glechoma hederacea,0,0,0,0,0,0,0,0,0,1.2
Hedera helix (g),0,0,0,0,0,0,0,0,0,2
Heracleum sphondylium,0,0,0,0,0,0,0,0,9,4
Holcus lanatus,1.6,9,3,0,0,8,7,1,4,0.2
Impatiens glandulifera,0,0,0,0,0,0,0,3.2,0,0
Juncus effusus,0,0,0,0,10,0,0,0,0,0
Juncus inflexus,0,0,0,0,0,0,0,0,0,0.2
Lathyrus pratensis,5,0,0,0,0,0,0,0.2,0,0
Leucanthemum vulgare,5,5,0.2,7,0,0,0,0,0,0
Lolium perenne,0,0,0,0,0,9,8,0,0,0.2
Lotus corniculatus,7,3.2,3.2,8,0,0.6,0,0,0,0
Phalaris arundinacea,0,0,0,0,0,0,0,0.4,0,0
Plantago lanceolata,5,2.4,1.6,3,0,0,0,0,0,0
Plantago major,0,0.2,0.2,0.2,0,0,0,0,0,0
Poa pratensis,0,0,0,0,0,0,0,0,0.2,0
Poa trivialis,0,0,0,0,0,0,0,0.4,0,0
Prunella vulgaris,0.6,1.6,0,4.8,0,0,0,0,0,0
Quercus robur (s),0,0.2,0,0,0,0,0,0,0.2,0
Quercus seedling/sp,0,0,0.2,0,0,0,0,0,0,0
Ranunculus acris,2.4,0,0.6,0,0,0,0,0,0,0
Ranunculus repens,0,9,9,1.2,8,7,9,0.8,3,0
Rubus fruticosus agg (g),0,0,0,0,0,0,0.2,0.4,1.6,2.4
Rumex acetosa,0,5,5,0.8,0,0,0,0,0,0
Rumex crispus,0,0,0,0,0,0,0.4,0,1.6,0
Rumex obtusifolius,0,0,0.6,0,0,0,0,2,0.2,6
Rumex sanguineus,0,0,0,0,0,0,0.2,0,0,0
Salix caprea (s),0,0,0,0,0,0,0,0,0,0.2
Salix fragilis (s),0,0,0,0,0,0,0,1.6,0,0
Silene dioica,0,0,0,0,0,0,0,0,0,0.2
Sonchus arvensis,0,0,0,0,0,0,4.8,0,0.2,0.8
Sonchus asper,0,0,0,0,0,0,0,0,0,0.2
Stachys sylvatica,0,0,0,0,0,0,0,0.6,0.2,2.4
Symphytum officinale,0,0,0,0,0,0,0,0.4,0,0
Tanacetum vulgare,0,0,0,0,0,0,0,0,0,0.8
Taraxacum seedling/sp,0,0,0.2,0.4,0,0,0,0,0,0
Thuidium tamariscinum,0,0,0,0,0,0,2.4,0,0,0
Trifolium dubium,0,0,0,0,0,0.2,0,0,0,0
Trifolium pratense,7,0.2,0.2,9,0,0,0,0,0,0
Trifolium repens,8,8,6,0,2.4,9,0,0,0,0
Urtica dioica,0,0.2,0,0,1.6,0,3.2,3.2,9,7
Veronica arvensis,0,0,0,0,0,0,0,0,0.8,0
Vicia hirsuta,0,0,0,0,0,0,0,0,4.8,0.2
