Fruit,GH,WH,OPH
Acti.obov,0,1,0
Acti.angu,0,1,0
Alse.pedu,1,1,0
Amoo.wall,1,1,1
Apha.poly,1,1,0
Beil.assa,1,1,0
Beil.gamm,0,1,0
Beil.spp,0,1,0
Brid.retu,0,0,1
Cana.resi,0,1,0
Chis.pani,1,1,1
Cryp.amyg,0,1,0
Cryp.spp,0,1,0
Elea.gani,0,1,0
Ficu.alti,1,1,0
Ficu.elas,1,0,0
Ficu.hook,1,1,1
Ficu.macu,1,0,0
Ficu.nerv,1,1,0
Gnet.ula,0,1,0
Hors.king,1,1,1
Hypt.spp,0,1,0
Lapu.cren,0,0,1
List.spp,0,1,0
Livi.jenk,0,1,0
Derr.spp,0,0,1
Osto.pani,0,1,0
Phoe.lanc,0,1,0
Plat.lati,0,1,0
Poly.simi,1,1,1
Poly.spp,0,1,0
Pyge.acum,1,1,1
Spon.axil,0,1,0
Styr.serr,0,1,0
Vite.pent,0,0,1
Zant.rhet,1,0,0
Zizy.spp,0,0,1
