n,Length,Speed,Algae,NO3,BOD
1,20,12,40,2.25,200
2,21,14,45,2.15,180
3,22,12,45,1.75,135
4,23,16,80,1.95,120
5,21,20,75,1.95,110
6,20,21,65,2.75,120
7,19,17,65,1.85,95
8,16,14,65,1.75,168
9,15,16,35,1.95,180
10,14,21,30,2.35,195
11,21,21,65,2.35,158
12,21,26,70,2.35,145
13,21,11,85,2.05,140
14,20,9,70,1.85,145
15,19,9,35,1.75,165
16,18,11,30,1.45,187
17,17,17,50,1.35,190
18,19,15,60,2.05,157
19,21,19,70,1.25,90
20,13,21,25,1.05,235
21,16,22,35,2.55,200
22,25,9,85,2.85,55
23,24,11,80,2.95,87
24,23,16,80,2.85,97
25,22,15,75,1.75,95
