uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"3c792693-843a-44ec-ad2c-c060aac3e1c4","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","A3","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T09Z","HARV_014.A3.2015-06-06T05:13-04:00[US/Eastern]",100,100,68,78,"mixed deciduous/evergreen forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"eddab5e4-9db8-4320-9f56-bc44e48ed4ba","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","B3","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T10Z","HARV_014.B3.2015-06-06T05:37-04:00[US/Eastern]",100,100,68,78,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"8dce98b3-cf83-43fa-8740-53eaa69d1635","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","C3","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T10Z","HARV_014.C3.2015-06-06T06:00-04:00[US/Eastern]",100,100,68,78,"mixed deciduous/evergreen forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"12663f78-47dc-44b8-8a65-debea1b0c9ab","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","C2","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T10Z","HARV_014.C2.2015-06-06T06:22-04:00[US/Eastern]",100,100,68,78,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"bb4bb5a7-c3f6-4c93-9a6a-262d92e59143","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","C1","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T11Z","HARV_014.C1.2015-06-06T06:46-04:00[US/Eastern]",100,100,68,78,"deciduous forest",19,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"41e84da8-bbbc-4bf0-923f-050f298debf8","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","B1","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T11Z","HARV_014.B1.2015-06-06T07:06-04:00[US/Eastern]",100,100,68,78,"deciduous forest",19,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"0fcd0ba1-f5b5-4332-be37-f5e6aab46eef","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","A1","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T11Z","HARV_014.A1.2015-06-06T07:23-04:00[US/Eastern]",100,100,68,78,"deciduous forest",16,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"6a1d14d3-21c1-4d7e-bef2-2cf319ce9115","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","A2","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T12Z","HARV_014.A2.2015-06-06T07:46-04:00[US/Eastern]",100,100,68,78,"deciduous forest",20,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"1e483a29-87a6-4109-82e5-dd5242014fcf","HARV_014.birdGrid.brd","D01","HARV","HARV_014","distributed","B2","mixedForest",42.471348,-72.265421,"WGS84",250.3,204.0,0.4,"2015-06-06T12Z","HARV_014.B2.2015-06-06T08:07-04:00[US/Eastern]",100,100,68,78,"mixed deciduous/evergreen forest",20,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"2398870d-0890-4714-80b9-fd5e44ced7ee","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","A1","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2015-06-06T13Z","HARV_025.A1.2015-06-06T08:38-04:00[US/Eastern]",100,70,77,69,"wetland",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","stopped for the day because of the wind.","JRUEB"
"5d251235-3d01-4bb4-b108-008246032d91","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","A2","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2015-06-06T13Z","HARV_025.A2.2015-06-06T09:22-04:00[US/Eastern]",100,70,77,69,"deciduous forest",19,5,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","stopped for the day because of the wind.","JRUEB"
"977b3ad6-9a2c-4794-9a48-b7fb5dca19fc","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","A3","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2015-06-06T14Z","HARV_025.A3.2015-06-06T09:46-04:00[US/Eastern]",100,70,77,69,"deciduous forest",20,7,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","stopped for the day because of the wind.","JRUEB"
"e067eb68-20c9-4252-99b9-44a1f2b0aea6","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","B3","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2015-06-07T10Z","HARV_025.B3.2015-06-07T05:41-04:00[US/Eastern]",20,0,64,70,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"3c3409e0-9a09-4927-8ffc-405001f991fb","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","C3","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2015-06-07T10Z","HARV_025.C3.2015-06-07T05:58-04:00[US/Eastern]",20,0,64,70,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"3296f27f-3dc1-4caf-9960-6f0648999bf4","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","C2","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2015-06-07T10Z","HARV_025.C2.2015-06-07T06:12-04:00[US/Eastern]",20,0,64,70,"deciduous forest",11,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
