uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
"d3cbe2ba-73f5-48dd-aba9-d3e2a14e2524","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",5,"N",,,,,,,,,,,"JRITT"
"d94818ff-3df5-4946-b3a2-aaecd7f2a832","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",2,"Y","NOFL","Colaptes auratus","species","Northern Flicker",39,"calling","No","Unknown",1,,"JRITT"
"f8705831-b3ca-4754-b76d-a10af52e09b5","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",2,"Y","VEER","Catharus fuscescens","species","Veery",22,"calling","No","Unknown",1,,"JRITT"
"2d633f70-f679-4e88-a712-b1c35e0df006","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",11,"singing","No","Unknown",1,,"JRITT"
"93ca93ff-4bb7-46e0-b5c4-13b2b08a1ec5","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",1,"Y","EAKI","Tyrannus tyrannus","species","Eastern Kingbird",42,"singing","No","Unknown",1,,"JRITT"
"5aab1701-7bc4-4547-aeb2-0b4886994358","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",9,"singing","No","Unknown",1,,"JRITT"
"6eda04be-f7ee-4542-a50c-48cadd9a7a9e","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",1,"Y","COYE","Geothlypis trichas","species","Common Yellowthroat",36,"singing","No","Unknown",1,,"JRITT"
"e30cca9b-58bd-44e8-8c50-16bed0744d75","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",17,"singing","No","Unknown",1,,"JRITT"
"072733e2-7076-41cf-809e-4a72cbfe7eec","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",1,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",58,"calling","No","Unknown",1,,"JRITT"
"82654c5f-135c-4b63-81da-a786a81a1f87","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",6,"N",,,,,,,,,,,"JRITT"
"3a658e45-36b1-4936-a207-37d4d14620ef","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",3,"Y","EATO","Pipilo erythrophthalmus","species","Eastern Towhee",34,"singing","No","Unknown",1,,"JRITT"
"17aeb03a-93a1-4283-b005-7f78e16f5736","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",4,"Y","AMRE","Setophaga ruticilla","species","American Redstart",40,"singing","No","Unknown",1,,"JRITT"
"577e6ead-5bf2-400b-9c1f-7ab38b347e38","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",2,"Y","PIWO","Dryocopus pileatus","species","Pileated Woodpecker",56,"calling","No","Unknown",1,,"JRITT"
"cd1e7914-8e77-4291-aeba-1d72bb242aec","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",4,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",49,"singing","No","Unknown",1,,"JRITT"
"ec9236d1-9169-46cf-a56f-89a11c70457d","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C2","2016-06-01T11Z","HARV_013.C2.2016-06-01T06:59-04:00[US/Eastern]",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",32,"singing","No","Unknown",1,,"JRITT"
