uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"52f85784-b861-471d-9992-3d375d5be0a5","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","C1","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T10Z","HARV_025.C1.2017-06-02T06:16-04:00[US/Eastern]",0,0,65,59,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"29d116a4-acfb-4351-ad41-59ac238c8030","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","C2","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T11Z","HARV_025.C2.2017-06-02T06:34-04:00[US/Eastern]",0,0,65,59,"mixed deciduous/evergreen forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"970b4a0e-5070-4847-b54e-89f5aa3109f9","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","C3","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T11Z","HARV_025.C3.2017-06-02T06:50-04:00[US/Eastern]",0,0,65,59,"deciduous forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"d29ea6e2-f120-4a67-b738-b1cc360998ff","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","B3","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T11Z","HARV_025.B3.2017-06-02T07:09-04:00[US/Eastern]",0,0,65,59,"mixed deciduous/evergreen forest",12,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"1dc65ebf-3d70-448e-8787-f78b6f5284d4","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","A3","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T11Z","HARV_025.A3.2017-06-02T07:27-04:00[US/Eastern]",0,0,65,59,"deciduous forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"f9c22dc3-16ea-4579-ad5f-1879dd87ca2b","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","A2","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T12Z","HARV_025.A2.2017-06-02T07:45-04:00[US/Eastern]",0,0,65,59,"mixed deciduous/evergreen forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"a7f1f2b8-a750-487d-accf-8ba5b1300c18","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","A1","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T12Z","HARV_025.A1.2017-06-02T08:04-04:00[US/Eastern]",0,0,65,59,"wetland",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"9ba604e0-bda0-4399-ac6f-84f1c256ea93","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","B2","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T13Z","HARV_025.B2.2017-06-02T08:33-04:00[US/Eastern]",0,0,65,59,"deciduous forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"78d5884f-66a7-4995-b09c-054253d7ba89","HARV_025.birdGrid.brd","D01","HARV","HARV_025","distributed","B1","mixedForest",42.477508,-72.273661,"WGS84",250.1,182.9,0.2,"2017-06-02T13Z","HARV_025.B1.2017-06-02T08:51-04:00[US/Eastern]",0,0,65,59,"mixed deciduous/evergreen forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"4933d1a4-016d-4c9f-9c9b-9b0e2d3d4434","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","C1","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T10Z","HARV_016.C1.2017-06-03T06:01-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",10,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"bb665cd5-66a6-4eb7-b686-ec59d96ab944","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","B1","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T10Z","HARV_016.B1.2017-06-03T06:18-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",9,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"510b46bf-a638-40a2-acfc-d5f42de0f693","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","C2","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T11Z","HARV_016.C2.2017-06-03T06:49-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",10,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"8ce11f98-b6ce-47ae-bc92-9d14dc8391c2","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","C3","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T11Z","HARV_016.C3.2017-06-03T07:13-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",10,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"319c84ca-b611-48d6-96ef-b3119fdd81b2","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","B3","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T11Z","HARV_016.B3.2017-06-03T07:27-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"c9f7bb32-5d1a-43fe-9cc4-1dd53818bd33","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","A3","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T12Z","HARV_016.A3.2017-06-03T07:46-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"024f0ec1-52f4-47a7-a679-bfc397f8a2c4","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","A2","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T12Z","HARV_016.A2.2017-06-03T08:03-04:00[US/Eastern]",20,40,63,67,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"c774a5d8-d98e-40e7-a6f2-fa9a80337b00","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","B2","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T12Z","HARV_016.B2.2017-06-03T08:19-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
"39715f5b-260a-434f-a114-a4207920a22a","HARV_016.birdGrid.brd","D01","HARV","HARV_016","distributed","A1","woodyWetlands",42.458224,-72.231982,"WGS84",250.2,232.8,0.3,"2017-06-03T13Z","HARV_016.A1.2017-06-03T08:41-04:00[US/Eastern]",20,40,63,67,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRUEB"
