uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF
"e50e85ae-19af-4716-aa65-710f4cf2a86d","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","I4","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"6a29ab1f-524f-480f-9d7c-c07c98da12df","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F5","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"a94aef58-f2b1-4c24-a9dc-905422d58017","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F1","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"89fb05b5-8963-43bd-93dc-8d020603efb7","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","D10","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"8ca3b381-cc97-450b-8809-dc622daa93f7","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F7","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"0f50547b-3128-4a58-9c8d-4da136c4d813","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F6","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"7c7713a5-0bbd-4e4d-afbf-fcba87277815","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F9","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"b04fce6b-2fba-46b2-baf2-76bc4af18739","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F8","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"f951d5e5-a689-453d-b743-14767f9fa990","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F10","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"5 - capture","ShermanLF","2013-06-19","2013-06-19","NEON.MAM.D01.L0003",,"PEMA","Peromyscus maniculatus","species",,"NEON.DOC.001907","N","M","N",,,"adult","nonscrotal",,"not",,19,14,88,74,25,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org","No samples recorded/collected",
"ba68b3d5-fecf-442a-a401-b71ce64636e1","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","H10","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"c120dadb-7d24-4178-8002-8b0288ea56bd","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E3","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"0e3d2341-4db0-45f5-a369-99bb9f63977e","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E4","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"45ed8d79-d8a1-4fcb-b436-25f4ab16b061","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E2","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"86360aaf-5856-4115-8014-105c252c0210","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E1","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"97707069-4ec9-46e9-a6f8-fcaf432e47a4","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E8","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"2bc95504-4833-48fa-8df0-5c8def1b9da6","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E9","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"30b94549-45dc-424d-942a-208d863ee694","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E6","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"c45c9822-7abf-42c2-bad6-b4b80129a1fb","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E5","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"ae4f14c2-dad1-4910-90e5-1118285eeb31","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","E7","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"ce2cd872-46da-49f4-8dac-1aa25b4324cc","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","F4","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"9a0be749-0957-43c1-a4a1-92bbc73b8f24","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","J10","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"bbd0cf73-9855-4045-b449-0ff39af37a40","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","H7","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"32ec74a3-5b65-403a-b17f-cc8720bff49a","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","H9","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"c5630375-1509-4b38-a754-089b5782bac3","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","H8","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"f03c04d4-9595-4725-bd47-f3a0284abeff","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","G1","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"cd20275b-a5dd-4d16-b964-dfb179b627a9","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","G2","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
"1c5c87a3-9e17-4800-9254-1c2e7f0b2099","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","G5","distributed","woodyWetlands",42.457572,-72.230640,"WGS84",,219.8,,"6 - trap set and empty",,"2013-06-19","2013-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kgodfrey@neoninc.org","gvanscoy@neoninc.org",,
