Bear	Poop
0.00	0.00
0.00	0.00
0.00	0.67
0.25	0.75
0.40	0.80
0.33	0.67
0.43	0.71
0.63	0.88
0.78	1.00
0.90	1.00
0.82	0.91
0.75	1.08
0.69	1.00
0.64	0.93
0.60	0.93
0.56	0.94
0.53	0.94
0.56	1.00
0.58	1.05
0.60	1.05
0.67	1.10
0.64	1.14
0.61	1.09
0.58	1.08
0.64	1.04
0.62	1.04
0.59	1.11
0.61	1.14
0.59	1.10
0.57	1.13
0.58	1.13
0.56	1.16
0.61	1.21
0.62	1.18
0.63	1.23
0.61	1.28
0.65	1.32
0.63	1.29
0.64	1.31
0.63	1.28
0.61	1.24
0.62	1.21
0.60	1.23
0.61	1.20
0.64	1.22
0.63	1.22
0.62	1.26
0.67	1.27
0.65	1.27
0.66	1.30
0.69	1.29
0.69	1.29
0.72	1.30
0.70	1.30
0.69	1.31
0.68	1.32
0.68	1.33
0.69	1.31
0.71	1.29
0.70	1.27
0.69	1.28
0.69	1.27
0.70	1.30
0.69	1.28
0.71	1.31
0.74	1.32
0.73	1.31
0.72	1.31
0.71	1.32
0.71	1.30
0.72	1.31
0.71	1.29
0.71	1.30
0.72	1.30
0.72	1.32
0.72	1.32
0.73	1.32
0.72	1.31
0.71	1.29
0.71	1.29
0.70	1.31
0.71	1.29
0.70	1.29
0.69	1.30
0.68	1.31
0.67	1.29
0.68	1.29
0.69	1.30
0.69	1.30
0.68	1.33
0.67	1.33
0.68	1.34
0.69	1.35
0.70	1.36
0.69	1.37
0.69	1.36
0.69	1.35
0.69	1.34
0.70	1.34
0.69	1.35
0.69	1.36
0.69	1.36
0.68	1.37
0.67	1.37
0.68	1.38
0.67	1.38
0.66	1.40
0.66	1.40
0.65	1.41
0.65	1.40
0.66	1.40
0.66	1.41
0.65	1.42
0.66	1.41
0.65	1.41
0.65	1.42
0.65	1.43
0.64	1.43
0.65	1.43
0.66	1.43
0.66	1.41
0.67	1.40
0.72	1.39
0.71	1.40
0.70	1.39
0.71	1.40
0.71	1.41
0.71	1.41
0.72	1.40
0.72	1.44
0.72	1.44
0.73	1.44
0.73	1.44
0.72	1.43
0.75	1.43
0.75	1.44
0.77	1.43
0.76	1.43
0.76	1.43
0.76	1.44
0.77	1.45
0.76	1.44
0.76	1.44
0.76	1.44
0.76	1.43
0.77	1.45
0.78	1.44
0.78	1.43
0.78	1.44
0.78	1.45
0.78	1.45
0.78	1.45
0.78	1.45
0.78	1.44
0.77	1.43
0.78	1.44
0.78	1.43
0.77	1.44
0.77	1.44
0.77	1.45
0.76	1.47
0.76	1.46
0.75	1.45
0.76	1.44
0.77	1.43
0.77	1.44
0.77	1.43
0.76	1.42
0.76	1.43
0.76	1.43
0.76	1.43
0.76	1.42
0.76	1.41
0.75	1.41
0.75	1.41
0.77	1.41
0.77	1.40
0.77	1.39
0.77	1.39
0.77	1.39
0.76	1.39
0.77	1.38
0.78	1.38
0.78	1.37
0.77	1.36
0.78	1.36
0.78	1.36
0.78	1.35
0.78	1.36
0.78	1.36
0.78	1.36
0.79	1.36
0.79	1.35
0.79	1.35
0.78	1.34
0.78	1.34
0.78	1.33
0.77	1.34
0.78	1.33
0.78	1.34
0.77	1.33
0.77	1.32
0.77	1.34
0.76	1.34
0.76	1.34
0.76	1.35
0.76	1.35
0.75	1.34
0.76	1.34
0.76	1.34
0.76	1.33
0.76	1.33
0.77	1.33
0.76	1.34
0.76	1.33
0.76	1.34
0.76	1.35
0.77	1.35
0.77	1.35
0.77	1.35
0.77	1.35
0.77	1.36
0.78	1.36
0.78	1.36
0.78	1.37
0.77	1.37
0.78	1.37
0.78	1.37
0.79	1.37
0.78	1.37
