Gender,Degree,Year,Stats,Excel,R,Height,Shoe,Eyes
Female,NRC,Sophomore,Yes,Yes,No,160.02,24.61,brown
Female,NRC,Senior,Yes,Yes,No,157.48,22.54,brown
Male,EnvSci,Senior,Yes,Yes,No,182.88,28.26,blue
Male,ResEcon,Senior,No,Yes,No,177.8,26.04,blueGreen
Female,NRC,Junior,Yes,Yes,No,175.26,25.4,blue
Male,NRC,Senior,Yes,Yes,No,182.88,28.97,brown
Female,NRC,Senior,Yes,Yes,No,162.56,24.13,green
Female,NRC,Junior,No,Yes,No,162.56,24.13,blueGreen
Female,NRC,Junior,No,Yes,No,167.64,24.61,blueGreen
Female,NRC,Junior,No,Yes,No,170.18,24.61,brown
Female,NRC,Senior,Yes,Yes,Yes,157.48,24.13,brown
Female,NRC,Senior,Yes,Yes,No,177.8,25.08,blue
Female,EnvSci,Sophomore,No,Yes,No,165.1,23.81,green
Female,EnvSci,Junior,No,Yes,Yes,162.56,24.61,blue
Female,NRC,Non-degree,Yes,Yes,No,147.32,21.27,brown
Male,NRC,Senior,Yes,Yes,Yes,187.96,29.37,green
Male,NRC,Senior,Yes,Yes,No,175.26,27.27,brown
Male,NRC,Senior,Yes,Yes,No,177.8,26.83,blue
Male,EnvSci,Junior,Yes,Yes,No,182.88,30.16,blue
Male,NRC,Sophomore,No,Yes,Yes,177.8,27.78,blueGreen
Male,NRC,Senior,No,Yes,No,175.26,26.04,blueGreen
Male,EnvSci,Senior,No,Yes,No,165.1,24.77,blue
Female,NRC,Junior,Yes,Yes,No,162.56,24.61,brown
Male,NRC,Senior,Yes,Yes,No,175.26,27.78,brown
Female,NRC,Senior,Yes,Yes,No,170.18,24.13,green
Male,EnvSci,Junior,No,Yes,No,177.8,27.78,brown
Male,EnvSci,Sophomore,No,Yes,No,180.34,29.37,brown
Female,NRC,Sophomore,No,Yes,No,182.88,26.19,green
Female,EnvSci,Sophomore,No,Yes,No,160.02,25.08,blue
Female,EnvSci,Sophomore,No,Yes,No,162.56,25.88,brown
Female,NRC,Junior,No,Yes,No,162.56,24.61,brown
Female,NRC,Junior,No,Yes,No,160.02,24.13,blue
Male,NRC,Junior,No,Yes,No,170.18,26.04,brown
Male,NRC,Junior,No,Yes,No,172.72,27.31,blue
Male,NRC,NA,Yes,Yes,Yes,182.88,27.78,blue
Female,NRC,NA,Yes,Yes,No,167.64,24.61,brown
