Year,Network,Species,Sex,Weight
2011,CRO,water.vole,female,25
2011,CRO,water.vole,female,25
1999,CRO,water.vole,female,35
2001,CRO,water.vole,female,35
2005,CRO,water.vole,female,35
2005,CRO,water.vole,female,35
2005,CRO,water.vole,female,35
2005,CRO,water.vole,female,35
2009,CRO,water.vole,female,35
2011,CRO,water.vole,female,35
2011,CRO,water.vole,female,35
2011,CRO,water.vole,female,35
1999,CRO,water.vole,female,40
2005,CRO,water.vole,female,40
2010,CRO,water.vole,female,40
2011,CRO,water.vole,female,40
2012,CRO,water.vole,female,40
2012,CRO,water.vole,female,40
2012,CRO,water.vole,female,40
2003,CRO,water.vole,female,45
2005,CRO,water.vole,female,45
2005,CRO,water.vole,female,45
2005,CRO,water.vole,female,45
2008,CRO,water.vole,female,45
2008,CRO,water.vole,female,45
2009,CRO,water.vole,female,45
2012,CRO,water.vole,female,45
2012,CRO,water.vole,female,45
2001,CRO,water.vole,female,50
2002,CRO,water.vole,female,50
2003,CRO,water.vole,female,50
2003,CRO,water.vole,female,50
2005,CRO,water.vole,female,50
2009,CRO,water.vole,female,50
2010,CRO,water.vole,female,50
2012,CRO,water.vole,female,50
2001,CRO,water.vole,female,55
2001,CRO,water.vole,female,55
2005,CRO,water.vole,female,55
2005,CRO,water.vole,female,55
2005,CRO,water.vole,female,55
2006,CRO,water.vole,female,55
2001,CRO,water.vole,female,60
2001,CRO,water.vole,female,60
2001,CRO,water.vole,female,60
2001,CRO,water.vole,female,60
2003,CRO,water.vole,female,60
2005,CRO,water.vole,female,60
2005,CRO,water.vole,female,60
2005,CRO,water.vole,female,60
2007,CRO,water.vole,female,60
2007,CRO,water.vole,female,60
2008,CRO,water.vole,female,60
2010,CRO,water.vole,female,60
2010,CRO,water.vole,female,60
2011,CRO,water.vole,female,60
2012,CRO,water.vole,female,60
2005,CRO,water.vole,female,65
2005,CRO,water.vole,female,65
2005,CRO,water.vole,female,65
2005,CRO,water.vole,female,65
2012,CRO,water.vole,female,65
2002,CRO,water.vole,female,68
2001,CRO,water.vole,female,70
2001,CRO,water.vole,female,70
2003,CRO,water.vole,female,70
2004,CRO,water.vole,female,70
2005,CRO,water.vole,female,70
2005,CRO,water.vole,female,70
2011,CRO,water.vole,female,70
2011,CRO,water.vole,female,70
2012,CRO,water.vole,female,70
2012,CRO,water.vole,female,70
1999,CRO,water.vole,female,75
1999,CRO,water.vole,female,75
2004,CRO,water.vole,female,75
2004,CRO,water.vole,female,75
2005,CRO,water.vole,female,75
2005,CRO,water.vole,female,75
2005,CRO,water.vole,female,75
2005,CRO,water.vole,female,75
2002,CRO,water.vole,female,79
2002,CRO,water.vole,female,79
2005,CRO,water.vole,female,80
2005,CRO,water.vole,female,80
2005,CRO,water.vole,female,80
2011,CRO,water.vole,female,80
2011,CRO,water.vole,female,80
2012,CRO,water.vole,female,80
2002,CRO,water.vole,female,82
1999,CRO,water.vole,female,85
1999,CRO,water.vole,female,85
2002,CRO,water.vole,female,85
2002,CRO,water.vole,female,85
2003,CRO,water.vole,female,85
2003,CRO,water.vole,female,85
2004,CRO,water.vole,female,85
2005,CRO,water.vole,female,85
2005,CRO,water.vole,female,85
2005,CRO,water.vole,female,85
2005,CRO,water.vole,female,85
2012,CRO,water.vole,female,85
2012,CRO,water.vole,female,85
2004,CRO,water.vole,female,87
1999,CRO,water.vole,female,90
2002,CRO,water.vole,female,90
2002,CRO,water.vole,female,90
2002,CRO,water.vole,female,90
2003,CRO,water.vole,female,90
2003,CRO,water.vole,female,90
2003,CRO,water.vole,female,90
2005,CRO,water.vole,female,90
2005,CRO,water.vole,female,90
2006,CRO,water.vole,female,90
2010,CRO,water.vole,female,90
2010,CRO,water.vole,female,90
2011,CRO,water.vole,female,90
2012,CRO,water.vole,female,90
2012,CRO,water.vole,female,90
2002,CRO,water.vole,female,92
2011,CRO,water.vole,female,92
2011,CRO,water.vole,female,92
2011,CRO,water.vole,female,94
2011,CRO,water.vole,female,94
2001,CRO,water.vole,female,95
2003,CRO,water.vole,female,95
2003,CRO,water.vole,female,95
2003,CRO,water.vole,female,95
2003,CRO,water.vole,female,95
2003,CRO,water.vole,female,95
2003,CRO,water.vole,female,95
2005,CRO,water.vole,female,95
2005,CRO,water.vole,female,95
2006,CRO,water.vole,female,95
2007,CRO,water.vole,female,95
2009,CRO,water.vole,female,95
2010,CRO,water.vole,female,95
2012,CRO,water.vole,female,95
2012,CRO,water.vole,female,95
2011,CRO,water.vole,female,98
2001,CRO,water.vole,female,100
2001,CRO,water.vole,female,100
2001,CRO,water.vole,female,100
2001,CRO,water.vole,female,100
2002,CRO,water.vole,female,100
2003,CRO,water.vole,female,100
2003,CRO,water.vole,female,100
2003,CRO,water.vole,female,100
2004,CRO,water.vole,female,100
2004,CRO,water.vole,female,100
2006,CRO,water.vole,female,100
2006,CRO,water.vole,female,100
2006,CRO,water.vole,female,100
2007,CRO,water.vole,female,100
2008,CRO,water.vole,female,100
2009,CRO,water.vole,female,100
2009,CRO,water.vole,female,100
2009,CRO,water.vole,female,100
2010,CRO,water.vole,female,100
2010,CRO,water.vole,female,100
2010,CRO,water.vole,female,100
2010,CRO,water.vole,female,100
2011,CRO,water.vole,female,100
2011,CRO,water.vole,female,100
2011,CRO,water.vole,female,100
2011,CRO,water.vole,female,100
2011,CRO,water.vole,female,100
2011,CRO,water.vole,female,100
2011,CRO,water.vole,female,100
2012,CRO,water.vole,female,100
1999,CRO,water.vole,female,105
2001,CRO,water.vole,female,105
2001,CRO,water.vole,female,105
2003,CRO,water.vole,female,105
2004,CRO,water.vole,female,105
2004,CRO,water.vole,female,105
2005,CRO,water.vole,female,105
2008,CRO,water.vole,female,105
2010,CRO,water.vole,female,105
2011,CRO,water.vole,female,105
2011,CRO,water.vole,female,105
1999,CRO,water.vole,female,110
1999,CRO,water.vole,female,110
2001,CRO,water.vole,female,110
2001,CRO,water.vole,female,110
2001,CRO,water.vole,female,110
2002,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2005,CRO,water.vole,female,110
2005,CRO,water.vole,female,110
2005,CRO,water.vole,female,110
2007,CRO,water.vole,female,110
2007,CRO,water.vole,female,110
2011,CRO,water.vole,female,110
2011,CRO,water.vole,female,110
2012,CRO,water.vole,female,110
2002,CRO,water.vole,female,115
2003,CRO,water.vole,female,115
2003,CRO,water.vole,female,115
2004,CRO,water.vole,female,115
2004,CRO,water.vole,female,115
2005,CRO,water.vole,female,115
2005,CRO,water.vole,female,115
2007,CRO,water.vole,female,115
2007,CRO,water.vole,female,115
2007,CRO,water.vole,female,115
2010,CRO,water.vole,female,115
2011,CRO,water.vole,female,115
2011,CRO,water.vole,female,115
2011,CRO,water.vole,female,115
2012,CRO,water.vole,female,115
2012,CRO,water.vole,female,115
2003,CRO,water.vole,female,120
2003,CRO,water.vole,female,120
2003,CRO,water.vole,female,120
2003,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2005,CRO,water.vole,female,120
2006,CRO,water.vole,female,120
2006,CRO,water.vole,female,120
2007,CRO,water.vole,female,120
2007,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2012,CRO,water.vole,female,120
1999,CRO,water.vole,female,125
1999,CRO,water.vole,female,125
2001,CRO,water.vole,female,125
2002,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2005,CRO,water.vole,female,125
2008,CRO,water.vole,female,125
2008,CRO,water.vole,female,125
2011,CRO,water.vole,female,125
2012,CRO,water.vole,female,125
2000,CRO,water.vole,female,128
2002,CRO,water.vole,female,128
1999,CRO,water.vole,female,130
1999,CRO,water.vole,female,130
2003,CRO,water.vole,female,130
2004,CRO,water.vole,female,130
2004,CRO,water.vole,female,130
2006,CRO,water.vole,female,130
2006,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2009,CRO,water.vole,female,130
2011,CRO,water.vole,female,130
2011,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2002,CRO,water.vole,female,134
2002,CRO,water.vole,female,135
2002,CRO,water.vole,female,135
2003,CRO,water.vole,female,135
2004,CRO,water.vole,female,135
2005,CRO,water.vole,female,135
2007,CRO,water.vole,female,135
2008,CRO,water.vole,female,135
