Collector,Year,Season,Site,SVL,Total_length,Sex
Chris,2014,Fall,A,36,72,female
Chris,2014,Fall,A,46,83,female
Chris,2014,Fall,A,42,89,female
Chris,2014,Fall,A,34,75,female
Chris,2014,Fall,A,37,80,female
Chris,2014,Fall,A,40,79,female
Chris,2014,Fall,A,42,72,female
Chris,2014,Fall,A,40,80,female
Chris,2014,Fall,A,34,71,female
Chris,2014,Fall,A,42,57,female
Chris,2014,Fall,B,51,91,female
Chris,2014,Fall,B,42,80,female
Chris,2014,Fall,B,46,76,female
Chris,2014,Fall,B,41,77,female
Chris,2014,Fall,B,43,84,female
Chris,2014,Fall,B,37,84,female
Chris,2014,Fall,B,45,89,female
Chris,2014,Fall,B,45,83,female
Chris,2014,Fall,B,38,84,female
Chris,2014,Fall,B,44,85,female
Chris,2014,Fall,B,41,75,female
Chris,2014,Fall,B,42,80,female
Chris,2014,Fall,B,41,86,female
Chris,2014,Fall,B,38,56,female
Chris,2014,Fall,B,42,94,female
Chris,2014,Fall,C,37,39,female
Chris,2014,Fall,C,42,81,female
Chris,2014,Fall,C,42,82,female
Chris,2014,Fall,C,43,88,female
Chris,2014,Fall,C,42,83,female
Chris,2014,Fall,C,36,74,female
Chris,2014,Fall,C,36,85,female
Chris,2014,Fall,C,43,89,female
Chris,2014,Fall,C,37,80,female
Chris,2014,Fall,C,42,95,female
Chris,2014,Fall,C,43,92,female
Chris,2014,Fall,C,40,86,female
Chris,2014,Fall,C,40,88,female
Chris,2014,Fall,C,45,90,female
Chris,2014,Fall,C,46,95,female
Chris,2014,Fall,C,40,75,female
Chris,2014,Fall,C,40,83,female
Chris,2014,Fall,C,39,69,female
Chris,2014,Fall,C,37,74,female
Chris,2014,Fall,C,42,83,female
Chris,2014,Fall,C,40,87,female
Chris,2014,Fall,C,38,80,female
Chris,2014,Fall,C,41,84,female
Chris,2014,Fall,C,32,69,female
Chris,2014,Fall,C,38,91,female
Chris,2014,Fall,C,42,81,female
Chris,2014,Fall,D,31,61,female
Chris,2014,Fall,D,36,81,female
Chris,2014,Fall,D,39,76,female
Chris,2014,Fall,D,42,80,female
Chris,2014,Fall,D,39,74,female
Chris,2014,Fall,D,41,89,female
Chris,2014,Fall,D,39,80,female
Chris,2014,Fall,D,41,85,female
Chris,2014,Fall,D,40,77,female
Chris,2014,Fall,D,38,83,female
