Station.ID,Land.Use,Lure,Species
9,Altered,BB,dog
9,Altered,BB,coyote
9,Altered,BB,cat
16,Altered,BB,coyote
16,Altered,BB,bobcat
26,Altered,BB,dog
28,Altered,BB,coyote
28,Altered,BB,bobcat
32,Altered,BB,dog
32,Altered,BB,coyote
116,Altered,BB,coyote
116,Altered,BB,cat
128,Altered,BB,bobcat
1,Altered,PR,cat
12,Altered,PR,dog
12,Altered,PR,coyote
12,Altered,PR,cat
23,Altered,PR,cat
38,Altered,PR,coyote
40,Altered,PR,cat
41,Altered,PR,coyote
43,Altered,PR,dog
43,Altered,PR,coyote
43,Altered,PR,cat
44,Altered,PR,coyote
48,Altered,PR,dog
48,Altered,PR,cat
52,Altered,PR,bobcat
53,Altered,PR,coyote
54,Altered,PR,coyote
54,Altered,PR,bobcat
55,Altered,PR,cat
59,Altered,PR,coyote
66,Altered,PR,coyote
66,Altered,PR,cat
70,Altered,PR,coyote
76,Altered,PR,dog
76,Altered,PR,coyote
78,Altered,PR,dog
78,Altered,PR,coyote
78,Altered,PR,cat
80,Altered,PR,coyote
80,Altered,PR,bobcat
87,Altered,PR,coyote
99,Altered,PR,dog
99,Altered,PR,coyote
102,Altered,PR,dog
102,Altered,PR,coyote
107,Altered,PR,coyote
117,Altered,PR,coyote
118,Altered,PR,cat
129,Altered,PR,dog
3,Natural,BB,dog
3,Natural,BB,coyote
3,Natural,BB,cat
10,Natural,BB,dog
14,Natural,BB,dog
17,Natural,BB,bobcat
27,Natural,BB,coyote
92,Natural,BB,coyote
113,Natural,BB,coyote
113,Natural,BB,cat
113,Natural,BB,bobcat
114,Natural,BB,coyote
119,Natural,BB,coyote
124,Natural,BB,dog
124,Natural,BB,coyote
125,Natural,BB,coyote
133,Natural,BB,coyote
134,Natural,BB,coyote
135,Natural,BB,dog
135,Natural,BB,coyote
136,Natural,BB,dog
136,Natural,BB,coyote
137,Natural,BB,dog
137,Natural,BB,coyote
138,Natural,BB,coyote
138,Natural,BB,cat
140,Natural,BB,dog
8,Natural,PR,coyote
21,Natural,PR,coyote
36,Natural,PR,dog
36,Natural,PR,coyote
37,Natural,PR,bobcat
39,Natural,PR,coyote
39,Natural,PR,cat
45,Natural,PR,coyote
45,Natural,PR,bobcat
49,Natural,PR,coyote
50,Natural,PR,dog
50,Natural,PR,coyote
50,Natural,PR,cat
50,Natural,PR,bobcat
51,Natural,PR,dog
56,Natural,PR,coyote
60,Natural,PR,coyote
60,Natural,PR,cat
61,Natural,PR,dog
62,Natural,PR,dog
67,Natural,PR,coyote
67,Natural,PR,bobcat
72,Natural,PR,dog
74,Natural,PR,dog
74,Natural,PR,coyote
81,Natural,PR,coyote
84,Natural,PR,coyote
88,Natural,PR,cat
89,Natural,PR,dog
90,Natural,PR,coyote
97,Natural,PR,coyote
98,Natural,PR,dog
98,Natural,PR,coyote
98,Natural,PR,cat
100,Natural,PR,bobcat
105,Natural,PR,dog
108,Natural,PR,coyote
122,Natural,PR,dog
131,Natural,PR,coyote
139,Natural,PR,dog
141,Natural,PR,dog
4,Urban,BB,dog
4,Urban,BB,bobcat
18,Urban,BB,dog
18,Urban,BB,coyote
25,Urban,BB,coyote
30,Urban,BB,coyote
30,Urban,BB,cat
112,Urban,BB,dog
6,Urban,PR,bobcat
7,Urban,PR,coyote
7,Urban,PR,cat
29,Urban,PR,cat
34,Urban,PR,cat
47,Urban,PR,dog
47,Urban,PR,coyote
47,Urban,PR,cat
58,Urban,PR,coyote
65,Urban,PR,coyote
68,Urban,PR,coyote
68,Urban,PR,cat
69,Urban,PR,cat
75,Urban,PR,cat
77,Urban,PR,dog
83,Urban,PR,coyote
83,Urban,PR,cat
104,Urban,PR,cat
120,Urban,PR,cat
123,Urban,PR,coyote
123,Urban,PR,cat
126,Urban,PR,cat
